SiteCode,p,k,Ntotal,S_obs,DA,d,U_med,J_M,L,m,m_,ratio_J_JM
MGuberl7,0.887811622364622,0.05,945,73,945,16.2505040981662,0.003637322,1437981.5598133237,100,0.21657909073234405,0.1970697674932905,6.571711532397385e-4
SPjabo1,0.0155802041005414,0.05,1694,76,1323.4375,13.673632603907,0.01120639,35340.87201137321,113.13708498984761,0.1636156664358609,0.0030385787193264223,0.047933169262344345
SPpesm6,0.590593209876543,0.05,1892,88,1892,11.4578973009029,0.008335328,1915182.9370959993,100,0.1554743175913829,0.0980640744078811,9.87895183981144e-4
SPigua1,0.705151439190278,0.05,1826,173,1826,11.6613383071395,0.003605026,2206906.084664803,100,0.15811606879824663,0.116947920042334,8.274026759400334e-4
MGvico4,0.203454803717689,0.05,1371,131,1371,13.549874266927,0.01059241,478086.06506593927,100,0.1824391240907929,0.04342930682253677,0.002867684503230411
SPpesmC,0.883012144988627,0.05,1119,131,1119,14.8687089220821,0.004931046,1693547.7480516473,100,0.1992074469647691,0.18009979407427879,6.607431064682768e-4
SPcara1,0.850301625856528,0.05,2166,181,2166,10.6025060931376,0.002773572,3156691.5230985167,100,0.144321198862538,0.12542634211303016,6.861614396435915e-4
SPcara3,0.756191086934286,0.05,1735,143,1735,11.9448123767297,0.004699448,2248701.0127528775,100,0.1617901138824084,0.12736839963673283,7.715565520540231e-4
MGuberl6,0.897604940383112,0.05,994,79,955.769230769231,15.9592182889958,0.00184636,1470411.740228197,101.98039027185568,0.20904609674549268,0.19174516969815053,6.760011313876877e-4
PRrico1,0.150749959057744,0.05,1019,66,1019,15.5032151187223,0.006482343,263288.6084233165,100,0.2072097637819,0.03790756811361817,0.003870277586646087
RScamb1,0.444885569575086,0.05,1178,42,1178,14.4715317642009,0.007009444,898243.9314364613,100,0.1941766306802077,0.09682295100826083,0.0013114477691111767
PRdiam3,0.229984477843697,0.05,1130,77,1046.2962962963,15.3092545947579,0.005771473,412433.4639618817,103.92304845413246,0.197469312670212,0.05355871731355208,0.002739835873513013
RSgaur,0.254016492149773,0.05,1540,84,1540,12.724777947565,0.007448767,670476.1246029384,100,0.17185709603242322,0.050074173941730575,0.0022968752256644497
BAlenc4,0.480010759036093,0.05,1125,150,1092.23300970874,15.1230044350854,0.02507037,898601.1122594093,101.4889156509221,0.19961748752320163,0.10691634567490504,0.0012519459242280946
BAuruc,0.944174531065876,0.05,2530,458,2530,9.91801421750602,0.02055022,4094241.769542142,100,0.13534346817844886,0.1287607217288934,6.179410358277228e-4
BAjuss,0.822843111251237,0.05,1400,265,1400,13.2485479291598,0.0095069420000000009,1974448.2505442381,100,0.17858263319315348,0.15174630930256888,7.09058847004019e-4
PEsvfer,0.764221922515876,0.05,1390,120,1390,13.2589970628426,0.003031374,1820685.6707782818,100,0.17871652123689372,0.14258734899311556,7.634486404266706e-4
PEalia,0.718189314043546,0.05,649,79,649,19.1825063947963,0.0029123449999999998,798885.0940970514,100,0.25273583364310026,0.19543152308714185,8.123821620849483e-4
PEcabo2,0.775969806576159,0.05,1575,81,1575,12.5529811544187,0.002917072,2094720.4052448557,100,0.16964502431741613,0.13684010816249423,7.518903220002268e-4
PEbrejo,0.652514641031126,0.05,1553,62,1553,12.5052271753917,0.00134271,1736850.3429020736,100,0.1690296065434513,0.11717670345008696,8.941472743155974e-4
PEcaru1,0.633257700082464,0.05,1424,92,1424,13.3042354710633,0.00369549,1545578.795509876,100,0.1792960460781383,0.12153199189781133,9.2133769183229e-4
MGubera,0.819681253972354,0.05,805,90,805,17.6205753246675,0.004230611,1130945.210057057,100,0.23359702396742926,0.19989506599534676,7.117939868717311e-4
PEmata2,0.657696033445498,0.05,1145,88,1145,14.8616583518549,0.002851567,1290718.0740394613,100,0.1991182861450338,0.14053825068372702,8.8710309635363e-4
MGlavr2,0.0596977983809989,0.05,3120,175,1500,12.7620527336153,0.01580069,153479.45776964532,144.22205101855957,0.12122706549354588,0.008168067560929897,0.0203284533665916
MGipia1,0.892023291310984,0.05,837,50,837,17.4462474893678,7.538887e-4,1279682.8051941881,100,0.2314433671619453,0.2117444729029754,6.54068333654751e-4
MGvico1,0.230771788647624,0.05,1826,94,1826,11.5642513497759,0.01532433,722244.3807534995,100,0.15685588181523105,0.041164769961087616,0.002528230123569781
SPeec4,0.368274401173212,0.05,1218,86,1218,14.3484071360824,0.001858938,768810.8478292332,100,0.1926137227747802,0.08076170896101308,0.0015842648467292958
SPeec5,0.412073966642495,0.05,1111,77,1111,14.9614160867075,0.003210592,784675.1867077601,100,0.2003793243201381,0.09359767909962466,0.0014158724766885926
MGvico3,0.201646421828803,0.05,1639,121,1639,12.2505726742574,0.008800985,566461.1839974624,100,0.16574389977858636,0.03851852115580126,0.0028934021364601433
MSdour,0.0753116519366682,0.05,1046,124,1046,15.3149946358711,0.01130569,135018.89226522692,100,0.20484041978733747,0.019031739780464983,0.007747064003052773
SCside1,0.667485387440862,0.05,1417,115,1417,13.3188924128302,0.005627827,1621109.291850584,100,0.17948376323350188,0.1274065353648069,8.740928246623136e-4
MGvico16,0.210647243466788,0.05,1653,91,1653,12.3895341811027,0.008563543,596800.6893785914,100,0.16753768099143157,0.04066977981254063,0.0027697689185331846
SPpesmL,0.999872716858652,0.05,1596,175,1596,12.6454041346051,0.003285466,2735131.97949214,100,0.17083544448050078,0.17081741434296163,5.835184597915987e-4
SPpesmS,0.834564677800723,0.05,2184,141,2184,10.6542837727105,0.001839939,3124016.4777567065,100,0.1449983984302788,0.12398466812739642,6.991000257361915e-4
PRrico3,0.104369417595287,0.05,1162,46,1162,14.8085628363643,0.005327392,207864.37811264026,100,0.19844667702150148,0.025188670210881357,0.005590183419355866
PRanto4,0.910542733134695,0.05,1922,129,1922,11.4369894743586,0.005122987,2999538.207582168,100,0.155202585935907,0.14330827880856903,6.407653001857452e-4
PRanto5,0.904052991381646,0.05,1762,128,1762,11.8278961220282,0.004394238,2730237.7919211523,100,0.16027577119182998,0.14716082676038625,6.45365032018019e-4
PRanto6,0.907041789373292,0.05,1672,132,1672,12.286161193972,0.005401436,2599346.9533654223,100,0.1662034798204024,0.15311918986401005,6.432384864341526e-4
PRanto7,0.896132461103336,0.05,1983,83,1983,11.3089016880453,0.002269258,3045759.4877837924,100,0.15353691311336215,0.13981917834621096,6.510691365991292e-4
PRanto8,0.963077430034025,0.05,1524,144,1524,12.8620285432142,0.002719027,2515630.5165792233,100,0.17362218833753765,0.16829044989515035,6.058123360947094e-4
PRanto9,0.940862084770845,0.05,1604,140,1604,12.2002976066988,0.003106393,2586610.366017395,100,0.16509444310890722,0.1568626050593222,6.201165900644245e-4
PRanto10,0.935790101690086,0.05,1967,137,1967,11.2241732802174,0.00293699,3154884.6808966193,100,0.15243418458872166,0.14405639389128438,6.234776224660541e-4
PRanto11,0.941077571652564,0.05,1746,102,1746,11.9362078511707,0.0019011170000000001,2816244.423483012,100,0.1616787119618625,0.15361562928993774,6.199745964665316e-4
PRanto12,0.956083671010842,0.05,1471,155,1471,12.9536279582556,0.004841132,2410511.767254408,100,0.17479912117613422,0.16841543254603783,6.102438577495436e-4
PRanto13,0.941618186926423,0.05,1685,133,1685,12.0845390260738,0.005405997,2719414.6044145343,100,0.1635980928337881,0.1555324538648749,6.196186478018733e-4
