"refID","status","method","arrangement","samples","effort_ha","dbh_cutoff","SiteCode","lat","long","lat_municipio","long_municipio","lat_correct","long_correct","confiabilidade","Unidade_de_conservacao","Unidade_de_conservacao1","UC_area_ha","year_data","year","state","status_diagnostico","S","N","ordem","tif.name"
161,"yes","parcelas","contiguous/systematic","52",2.08,"DBH>=5.0cm","MGlavr2",-21.221389,-44.963056,-21.265411,-45.0392764,NA,NA,"precisa","universities and research centers","campus",600,NA,2002,"MG","ok NAB digitado! Checado",174,3120,201,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref161_MG_201.tif"
220,"yes","parcelas","contiguous","126",5.04,"DBH>=5.0cm","MGlavr4",-21.227778,-44.963889,-21.265411,-45.039276,-21.228781,-44.967024,"precisa","universities and research centers","campus",600,"1988",1994,"MG","ok NAB digitado! Checado",134,6507,295,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref220_MG_295.tif"
224,"yes","parcelas","contiguous","100",1,"PBH>=15.0cm","MGvico1",-20.755278,-42.866111,-20.7404998,-42.8862695,-20.759403,-42.866807,"precisa","universities and research centers","campus",1611.3,NA,2004,"MG","ok N digitado! Checado",94,1826,307,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref224_MG_307.tif"
257,"yes","parcelas","contiguous","100",1,"PBH>=15.0cm","MGvico16",-20.75,-42.85,-20.7404998,-42.8862695,-20.754487,-42.868315,"exata","universities and research centers","campus",1611.3,NA,2000,"MG","ok NAB digitado! Checado",91,1653,348,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref257_MG_348.tif"
1048,"yes","parcelas","contiguous","128",1.28,"PBH>=15.0cm","SPjabo1",-21.247891,-48.268177,-21.218043,-48.287932,-21.247891,-48.268177,"precisa","universities and research centers","campus",829,"1986",1989,"SP","ok NAB digitado! Checado",76,1694,1583,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref1048_SP_1583.tif"
601,"yes","parcelas","contiguous","72",1.44,"DBH>=5.0cm","RJpnrj",-22.25,-41.666667,-22.200348,-41.634483,-22.262064,-41.638927,"precisa","UC Protecao Integral","PARNA",14867.28,NA,2009,"RJ","ok NAB digitado! Checado",84,2164,942,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref601_RJ_942.tif"
618,"yes","parcelas","contiguous","100",1,"DBH>=5.0cm&H>500cm","RSvsol",-29.581111,-52.673889,-29.583957,-52.689282,-29.566667,-52.666667,"boa","private","particular_fisica",NA,"2001",2001,"RS","ok NAB digitado! Checado",55,1855,968,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref618_RS_968.tif"
619,"yes","parcelas","contiguous","100",1,"DBH>=5.0cm","RScama",-30.683333,-51.883333,-28.521022,-52.448468,-30.698526,-51.877136,"precisa","private","particular_fisica",NA,"2003",2003,"RS","ok NAB digitado! Checado",69,2236,969,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref619_RS_969.tif"
624,"yes","parcelas","contiguous","100",1,"PBH>=15.0cm","RScach1",-30.016667,-52.783333,-30.206242,-52.98636,-30.006342,-52.776698,"precisa","private","particular",NA,NA,2007,"RS","ok NAB digitado! Checado",30,1547,974,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref624_RS_974.tif"
638,"yes","parcelas","contiguous","100",1,"PBH>=15.0cm","RScach4",-30,-52.8,-30.206242,-52.98636,-29.986589,-52.810887,"precisa","private","particular_fisica",NA,NA,2006,"RS","ok NAB digitado! Checado",49,1096,989,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref638_RS_989.tif"
639,"yes","parcelas","contiguous","100",1,"PBH>=15.0cm","RSfaxi",-27.204,-52.4032,-27.375602,-52.675999,-27.389975,-52.712117,"boa","private","particular_fisica",NA,"2008",2012,"RS","ok NAB digitado! Checado",74,1211,990,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref639_RS_990.tif"
658,"yes","parcelas","contiguous","100",1,"DBH>=5.0cm","RSmaqu4",-29.423,-50.09,-29.633612,-50.209317,-29.708333,-50.15,"boa","private","particular_fisica",NA,"2002",2002,"RS","ok NAB digitado! Checado",85,1531,1017,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref658_RS_1017.tif"
658,"yes","parcelas","contiguous","100",1,"DBH>=5.0cm","RSrioz1",-29.362,-50.223,-29.616396,-50.399956,-29.605556,-50.375,"boa","private","particular_fisica",NA,"2002",2002,"RS","ok NAB digitado! Checado",77,1206,1018,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref658_RS_1018.tif"
663,"yes","parcelas","contiguous","100",1,"PBH>=15.0cm","RScach3",-30.016667,-52.783333,NA,NA,-29.998973,-52.791275,"precisa","private","particular",NA,NA,2007,"RS","ok NAB digitado! Checado",72,1229,1023,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref663_RS_1023.tif"
664,"yes","parcelas","contiguous","100",1,"PBH>=15.0cm","RScach2",-30.016667,-52.783333,-30.206242,-52.98636,-30.001866,-52.795133,"precisa","private","particular",NA,NA,2008,"RS","ok NAB digitado! Checado",48,1904,1024,"/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/dados_brutos/ref664_RS_1024.tif"
