"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00548804
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00548804
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00534333
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00534333
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00542082
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00542082
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00546224
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00546224
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00536066
"MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace",2,3.23254091917618,0.830243128435876,"ref284_MG_391.txt",0.00536066
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00525527
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00525527
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00544352
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00544352
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00530075
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00530075
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00523699
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00523699
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00537153
"MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace",2,3.20256307610174,0.826024064223155,"ref89_MG_102.txt",0.00537153
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000472789
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000472789
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000491055
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000491055
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000471933
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000471933
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000432693
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000432693
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000491346
"SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace",2,2.21730035079246,0.565379635199895,"ref873_SC_1328.txt",0.000440285
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00636314
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00636314
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00635673
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00635673
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00639218
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00639218
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00657167
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00643064
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00682056
"MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace",2,3.25300024316178,0.830694754922217,"ref100_MG_118.txt",0.00657167
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00325537
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00308203
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00314313
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00325537
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.0032028
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00314313
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00296046
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.0032028
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.0032505
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00296046
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00311018
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00322372
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00299259
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00311018
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00308409
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00299259
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00318845
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00308409
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00315647
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00306384
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00596316
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.0054472
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.0061042
