"SiteCode";"MN";"k";"p";"n_SAD.N.ref";"n_SAD.ref";"S.MN_mean";"U_med";"Ntotal";"Stotal";"DA";"d";"m_";"theta";"U_var";"S.MN_var";"p.value_mean";"p.value_var";"D_mean";"D_var";"S.obs_mean";"S.obs_var";"k.0"
"SPjabo1";"EE";0.99;0.0186521898132385;94;6;74.78;0.002597189;1694;76;1323.4375;0.708422796796005;8.2945631479234e-05;231.400260408243;3.77350669888889e-09;54.6783838383838;0.492620238886178;0.0964082464371991;0.142687377967223;0.00200666589493123;76;0;0.99
"SPjabo1";"EI";0.99;0.0186521898132385;82;18;2.06;0.002597189;1694;76;1323.4375;0.708422796796005;8.2945631479234e-05;231.400260408243;3.77350669888889e-09;1.00646464646465;0.339997732829423;0.0627477953489007;0.77530701754386;0.0577092310454499;76;0;0.99
"SPjabo1";"EE";0.95;0.0186521898132385;96;4;77.06;0.002616189;1694;76;1323.4375;1.00429264667152;0.000117802239341612;233.097532908825;4.04741985444445e-09;65.8347474747475;0.456844557554031;0.0959739080276;0.14698780447407;0.00193493512927378;76;0;0.95
"SPjabo1";"EI";0.95;0.0186521898132385;64;36;2.54;0.002616189;1694;76;1323.4375;1.00429264667152;0.000117802239341612;233.097532908825;4.04741985444445e-09;1.28121212121212;0.252933060909822;0.066279274424772;0.771333333333333;0.0512458515596097;76;0;0.95
"SPjabo1";"EE";0.9;0.0186521898132385;99;1;75.64;0.002611244;1694;76;1323.4375;1.22589849204929;0.000143993249800332;232.65578918314;3.8718370488889e-09;59.2832323232323;0.460496717165989;0.0842127602490122;0.144714067756775;0.00139672649233669;76;0;0.9
"SPjabo1";"EI";0.9;0.0186521898132385;73;27;3;0.002611244;1694;76;1323.4375;1.22589849204929;0.000143993249800332;232.65578918314;3.8718370488889e-09;2.02020202020202;0.262547297388939;0.0585721622520389;0.705070175438596;0.046894267078293;76;0;0.9
"SPjabo1";"EE";0.85;0.0186521898132385;98;2;74.36;0.006550993;1694;76;1323.4375;1.41904886254668;0.000166879764016636;585.993004856;3.15562263566666e-08;56.8993939393939;0.640738314256425;0.0750436961092726;0.121165284619386;0.00138521851809552;76;0;0.85
"SPjabo1";"EI";0.85;0.0186521898132385;73;27;3.06;0.006550993;1694;76;1323.4375;1.41904886254668;0.000166879764016636;585.993004856;3.15562263566666e-08;1.65292929292929;0.278057305328567;0.0755930502673922;0.685794486215539;0.0517248684608664;76;0;0.85
"SPjabo1";"EE";0.8;0.0186521898132385;100;0;75.46;0.006681122;1694;76;1323.4375;1.58952558635748;0.000187125157903235;597.711469106892;9.10061821066665e-08;69.3620202020202;0.674604626503912;0.0701143079958489;0.11642877925208;0.00106443986928941;76;0;0.8
"SPjabo1";"EI";0.8;0.0186521898132385;68;32;3.45;0.006681122;1694;76;1323.4375;1.58952558635748;0.000187125157903235;597.711469106892;9.10061821066665e-08;2.0479797979798;0.275815704590088;0.0880133064769125;0.668825187969925;0.0548098321021377;76;0;0.8
"SPjabo1";"EE";0.75;0.0186521898132385;100;0;73.51;0.006435443;1694;76;1323.4375;1.7828516895403;0.000210135883499381;575.589991513365;8.19519284555556e-09;60.9392929292929;0.714302005299325;0.0695588421023496;0.111700370361512;0.00114929901298027;76;0;0.75
"SPjabo1";"EI";0.75;0.0186521898132385;63;37;3.56;0.006435443;1694;76;1323.4375;1.7828516895403;0.000210135883499381;575.589991513365;8.19519284555556e-09;2.10747474747475;0.248695446947642;0.0711926210092695;0.666552631578947;0.0474765221498469;76;0;0.75
"SPjabo1";"EE";0.7;0.0186521898132385;100;0;74.76;0.006520272;1694;76;1323.4375;1.97477090494348;0.00023303379116792;583.22694461013;1.89177672844445e-08;53.719595959596;0.626028570426972;0.0790312056522654;0.123172150649032;0.0012542962370897;76;0;0.7
"SPjabo1";"EI";0.7;0.0186521898132385;72;28;3.88;0.006520272;1694;76;1323.4375;1.97477090494348;0.00023303379116792;583.22694461013;1.89177672844445e-08;2.95515151515151;0.258771975250711;0.0657310774556768;0.642967418546366;0.0500054883544397;76;0;0.7
