"SiteCode"	"sp"	"N"	"ha"	"area_ha"	"Ntotal"	"method"	"forest_type"	"forest_subtype"	"state"
"BAjuss"	"Agonandra excelsa"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Albizia polycephala"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Alchornea glandulosa"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Ampelocera glabra"	86	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Amphirrhox longifolia"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Andira lewisii"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Andradaea floribunda"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Aniba firmula"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Artocarpus heterophyllus"	8	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Aspidosperma parvifolium"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Bactris ferruginea"	5	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Bathysa cuspidata"	3	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Bauhinia forficata"	8	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Bauhinia grandifolia"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Brosimum glaziovii"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Brosimum guianense"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Byrsonima cacaophila"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Caesalpinia echinata"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Carica papaya"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cariniana legalis"	12	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Casearia decandra"	4	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Casearia melliodora"	3	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cavanillesia umbellata"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cecropia glaziovii"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cecropia hololeuca"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cecropia pachystachya"	11	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cedrela odorata"	5	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Ceiba ventricosa"	7	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cheiloclinium cognatum"	7	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Chrysophyllum flexuosum"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Chrysophyllum gonocarpum"	13	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Chrysophyllum lucentifolium"	5	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Chrysophyllum subspinosum"	8	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Citronella paniculata"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Clarisia ilicifolia"	8	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Clarisia racemosa"	3	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cnidoscolus oligandrus"	10	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Coccoloba declinata"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Copaifera lucens"	4	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cordia alliodora"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cordia magnoliifolia"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Coussapoa curranii"	3	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cryptocarya aschersoniana"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Cupania bracteosa"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Diospyros ebenaster"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Diploon cuspidatum"	5	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Discocarpus pedicellatus"	90	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Drypetes sessiliflora"	38	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Ecclinusa ramiflora"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Eriotheca macrophylla"	9	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Erythroxylum petrae-caballi"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Eugenia beaurepairiana"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Eugenia candolleana"	14	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Eugenia flamingensis"	1	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Eugenia florida"	4	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Eugenia mandioccensis"	2	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
"BAjuss"	"Eugenia platyphylla"	14	1	1	1198	"parcelas"	"Contato FOD/FES"	""	"BA"
