"","Site","k","MN","GOF","U","S","p","m_","J","DA","S_m","S_sd"
"1","BAjuss","0.99","EE",100,0.03038556,182,0.859421049020215,0.00333321151218643,1198,1198,187.26,10.7389783762543
"2","BAjuss","0.95","EE",100,0.03069548,182,0.859421049020215,0.00681756072002377,1198,1198,186.74,10.6871205408447
"3","BAjuss","0.9","EE",100,0.03024154,182,0.859421049020215,0.0101458324089588,1198,1198,184.27,10.9081148553254
"4","BAjuss","0.85","EE",100,0.0296357,182,0.859421049020215,0.0135836141749457,1198,1198,183.04,10.1044244734371
"5","BAjuss","0.8","EE",100,0.02938566,182,0.859421049020215,0.0172522747123013,1198,1198,179.99,12.2453825558614
"6","BAjuss","0.75","EE",99,0.02910278,182,0.859421049020215,0.0213727004564388,1198,1198,180.23,11.2796007881216
"7","BAjuss","0.7","EE",99,0.02775694,182,0.859421049020215,0.0261741868920037,1198,1198,175.22,11.6355255380002
"8","BAjuss","0.65","EE",100,0.02581922,182,0.859421049020215,0.0319024660527595,1198,1198,179.61,11.0608007454846
"9","BAjuss","0.6","EE",100,0.0263961,182,0.859421049020215,0.0381141020179991,1198,1198,181.72,10.9830723746991
"10","BAjuss","0.55","EE",100,0.0258233,182,0.859421049020215,0.0463466692120809,1198,1198,179.16,10.1550803328017
"11","BAjuss","0.5","EE",100,0.02705866,182,0.859421049020215,0.055985509846221,1198,1198,185.43,11.7251822582806
"12","BAjuss","0.25","EE",100,0.01592218,182,0.859421049020215,0.175195247714333,1198,1198,172.3,9.82626864865578
"13","BAlenc4","0.99","EE",100,0.008212588,61,0.159514416903022,0.000842506921459781,893,866.990291262136,57.96,6.25052725048783
"14","BAlenc4","0.95","EE",100,0.008031126,61,0.159514416903022,0.00170871792639822,893,866.990291262136,57.34,6.46860327140475
"15","BAlenc4","0.9","EE",100,0.008627131,61,0.159514416903022,0.00259932778476115,893,866.990291262136,59.19,6.18354773784942
"16","BAlenc4","0.85","EE",100,0.008622259,61,0.159514416903022,0.00347515826535277,893,866.990291262136,59.56,5.86948967891665
"17","BAlenc4","0.8","EE",100,0.008657614,61,0.159514416903022,0.00445462840383223,893,866.990291262136,59.85,5.41299409296787
"18","BAlenc4","0.75","EE",93,0.01104252,61,0.159514416903022,0.00553978515794113,893,866.990291262136,58.62,7.28743210374317
"19","BAlenc4","0.7","EE",92,0.01204682,61,0.159514416903022,0.00682318874011218,893,866.990291262136,63.02,6.86372399435664
"20","BAlenc4","0.65","EE",93,0.01222075,61,0.159514416903022,0.00830678359692837,893,866.990291262136,62.47,6.96521661000162
"21","BAlenc4","0.6","EE",96,0.01197783,61,0.159514416903022,0.010158165027248,893,866.990291262136,61.03,6.44237079141999
"22","BAlenc4","0.55","EE",94,0.0111799,61,0.159514416903022,0.0123415068832675,893,866.990291262136,59.9,6.95802712082537
"23","BAlenc4","0.5","EE",79,0.01303892,61,0.159514416903022,0.0150658345263937,893,866.990291262136,60.45,8.15181085416119
"24","BAlenc4","0.25","EE",63,0.0136963,61,0.159514416903022,0.0564796572764088,893,866.990291262136,60.2,6.662119661477
"25","BAuruc","0.99","EE",99,0.01260902,230,0.769444718591026,0.00199440225140413,1784,1784,226.79,10.9436527427334
"26","BAuruc","0.95","EE",99,0.0233634,230,0.769444718591026,0.00398469136870481,1784,1784,225.22,11.8386287767263
"27","BAuruc","0.9","EE",99,0.02305592,230,0.769444718591026,0.00610874804434803,1784,1784,224.9,11.072305974636
"28","BAuruc","0.85","EE",100,0.02305882,230,0.769444718591026,0.00816392395863575,1784,1784,224.92,10.6985130657574
