"SiteCode"	"kernel_percentil"	"par.value"	"par.class"	"par.method"	"GOF"	"p"	"J"	"S"
"1"	"BAjuss"	"0.25"	16393.2602526699	"theta"	"H01"	100	0.859421049020215	1198	182
"2"	"BAjuss"	"0.25"	8329.23376339782	"theta"	"E05"	100	0.859421049020215	1198	182
"3"	"BAjuss"	"0.25"	0.0476623456764474	"m"	"CL"	100	0.859421049020215	1198	182
"4"	"BAjuss"	"0.25"	0.19817350233693	"m"	"CaCL"	100	0.859421049020215	1198	182
"5"	"BAjuss"	"0.5"	27859.228790813	"theta"	"H01"	100	0.859421049020215	1198	182
"6"	"BAjuss"	"0.5"	14316.9857873924	"theta"	"E05"	100	0.859421049020215	1198	182
"7"	"BAjuss"	"0.5"	0.0272024430773733	"m"	"CL"	100	0.859421049020215	1198	182
"8"	"BAjuss"	"0.5"	0.0645521305744862	"m"	"CaCL"	100	0.859421049020215	1198	182
"9"	"BAjuss"	"0.55"	26587.3189150461	"theta"	"H01"	100	0.859421049020215	1198	182
"10"	"BAjuss"	"0.55"	13646.0188733964	"theta"	"E05"	100	0.859421049020215	1198	182
"11"	"BAjuss"	"0.55"	0.0247695936606655	"m"	"CL"	100	0.859421049020215	1198	182
"12"	"BAjuss"	"0.55"	0.0535220235582152	"m"	"CaCL"	100	0.859421049020215	1198	182
"13"	"BAjuss"	"0.6"	27177.0660145469	"theta"	"H01"	100	0.859421049020215	1198	182
"14"	"BAjuss"	"0.6"	13956.9147280259	"theta"	"E05"	100	0.859421049020215	1198	182
"15"	"BAjuss"	"0.6"	0.0224772344679772	"m"	"CL"	100	0.859421049020215	1198	182
"16"	"BAjuss"	"0.6"	0.0440738015995051	"m"	"CaCL"	100	0.859421049020215	1198	182
"17"	"BAjuss"	"0.65"	26583.1182024659	"theta"	"H01"	100	0.859421049020215	1198	182
"18"	"BAjuss"	"0.65"	13643.8057030985	"theta"	"E05"	100	0.859421049020215	1198	182
"19"	"BAjuss"	"0.65"	0.0205746064267538	"m"	"CL"	100	0.859421049020215	1198	182
"20"	"BAjuss"	"0.65"	0.0369281739754549	"m"	"CaCL"	100	0.859421049020215	1198	182
"21"	"BAjuss"	"0.7"	28578.1683938846	"theta"	"H01"	99	0.859421049020215	1198	182
"22"	"BAjuss"	"0.7"	14697.0001925262	"theta"	"E05"	99	0.859421049020215	1198	182
"23"	"BAjuss"	"0.7"	0.0186448336461841	"m"	"CL"	99	0.859421049020215	1198	182
"24"	"BAjuss"	"0.7"	0.0303257664668282	"m"	"CaCL"	99	0.859421049020215	1198	182
"25"	"BAjuss"	"0.75"	29963.8269769714	"theta"	"H01"	99	0.859421049020215	1198	182
"26"	"BAjuss"	"0.75"	15430.9684661634	"theta"	"E05"	99	0.859421049020215	1198	182
"27"	"BAjuss"	"0.75"	0.0168547183353956	"m"	"CL"	99	0.859421049020215	1198	182
"28"	"BAjuss"	"0.75"	0.0247820802581347	"m"	"CaCL"	99	0.859421049020215	1198	182
"29"	"BAjuss"	"0.8"	30255.0763825349	"theta"	"H01"	100	0.859421049020215	1198	182
"30"	"BAjuss"	"0.8"	15585.4989795509	"theta"	"E05"	100	0.859421049020215	1198	182
"31"	"BAjuss"	"0.8"	0.0151481946620683	"m"	"CL"	100	0.859421049020215	1198	182
"32"	"BAjuss"	"0.8"	0.0200178078124646	"m"	"CaCL"	100	0.859421049020215	1198	182
"33"	"BAjuss"	"0.85"	30512.5141701732	"theta"	"H01"	100	0.859421049020215	1198	182
"34"	"BAjuss"	"0.85"	15722.1648090172	"theta"	"E05"	100	0.859421049020215	1198	182
