SiteCode,k,MN,U,GOF,p,d,m_,I,J,S,DA,S_m,S_sd,KS.D_mean,KS.D_sd,KS.p_mean,KS.p_sd
BAjuss,0.99,EE,0.03038556,100,0.859421049020215,0.5235432712687452,0.00333321151218643,4.003197684695341,1198,182,1198,23.29,4.219471459073921,0.40380165206940566,0.09425594928705164,0.021953479745906744,0.05269955144644079
BAjuss,0.95,EE,0.03069548,100,0.859421049020215,0.7485347948248818,0.00681756072002377,8.216637607673196,1198,182,1198,40.84,5.947106927580907,0.31280502125884024,0.0635154680003308,0.020512519395386834,0.05350000534757334
BAjuss,0.9,EE,0.03024154,100,0.859421049020215,0.9129001373604005,0.0101458324089588,12.269041027608438,1198,182,1198,55.92,5.906134458545983,0.265435940458399,0.04628265381437258,0.017279143596030416,0.03082440662875096
BAjuss,0.85,EE,0.0296357,100,0.859421049020215,1.0560031818360616,0.0135836141749457,16.483491556975938,1198,182,1198,70.97,7.755682178932169,0.22880953420174588,0.04568186867565355,0.03581222518603133,0.06793470845947808
BAjuss,0.8,EE,0.02938566,100,0.859421049020215,1.1897364266375456,0.0172522747123013,21.013503566827488,1198,182,1198,86.44,7.947199494034347,0.18609464138917872,0.03739686550214268,0.07475046265350432,0.08780782291192149
BAjuss,0.75,EE,0.02910278,99,0.859421049020215,1.3237664825200983,0.0213727004564388,26.141844252954517,1198,182,1198,100.91,8.963556968935574,0.1654059804104318,0.03372968604551347,0.10690581021951658,0.12784086847280618
BAjuss,0.7,EE,0.02775694,99,0.859421049020215,1.4643618102563944,0.0261741868920037,32.17259317632598,1198,182,1198,118.74,9.353463140851773,0.13345206936343249,0.028806893745074263,0.21890590526203746,0.19332334108984423
BAjuss,0.65,EE,0.02581922,100,0.859421049020215,1.6159258100197784,0.0319024660527595,39.445665881878234,1198,182,1198,135.2,10.651504375183135,0.10186173268947744,0.02334502353973036,0.4411869957255327,0.23266938484132388
BAjuss,0.6,EE,0.0263961,100,0.859421049020215,1.765357866940314,0.0381141020179991,47.430345128522326,1198,182,1198,153.18,10.24978935482002,0.08325536279106113,0.02483839545689849,0.6246315203195321,0.27454527770843395
BAjuss,0.55,EE,0.0258233,100,0.859421049020215,1.9453993369187763,0.0463466692120809,58.173092103631774,1198,182,1198,177.33,10.63732232578417,0.06200495385385281,0.019650077289650847,0.8205144449044262,0.211813498012211
BAjuss,0.5,EE,0.02705866,100,0.859421049020215,2.136474883289262,0.055985509846221,70.98901127567429,1198,182,1198,204.21,12.08245660351228,0.05957411455731438,0.018582331258321073,0.8199947288430921,0.20597371189513564
BAjuss,0.25,EE,0.01592218,100,0.859421049020215,3.7433918757496105,0.175195247714333,254.2525499918859,1198,182,1198,431.43,15.720574564769084,0.21602255384630742,0.014689109780635189,4.850644055201525e-5,1.2800457186628415e-4
BAlenc4,0.99,EE,0.008212588,100,0.159514416903022,0.614294675335603,8.42506921459781e-4,0.7521498654097074,893,61,866.990291262136,5.99,1.9095454004457806,0.47196488302226014,0.1542549871153536,0.31434672580513495,0.2819361263670056
