"SiteCode"	"kernel_percentil"	"p"	"S"	"DA"	"J"	"sd_k"	"U"	"GOF"	"theta"	"m"
"BAjuss"	"0.25"	0.859421049020215	182	1198	1198	5.29395555996236	0.01592218	100	NA	NA
"BAjuss"	"0.5"	0.859421049020215	182	1198	1198	3.02143175561715	0.02705866	100	NA	NA
"BAjuss"	"0.55"	0.859421049020215	182	1198	1198	2.75121012650216	0.0258233	100	NA	NA
"BAjuss"	"0.6"	0.859421049020215	182	1198	1198	2.49659303786903	0.0263961	100	NA	NA
"BAjuss"	"0.65"	0.859421049020215	182	1198	1198	2.2852641963187	0.02581922	100	NA	NA
"BAjuss"	"0.7"	0.859421049020215	182	1198	1198	2.07092033228581	0.02775694	99	NA	NA
"BAjuss"	"0.75"	0.859421049020215	182	1198	1198	1.87208851299485	0.02910278	99	NA	NA
"BAjuss"	"0.8"	0.859421049020215	182	1198	1198	1.68254139020012	0.02938566	100	NA	NA
"BAjuss"	"0.85"	0.859421049020215	182	1198	1198	1.4934140216617	0.0296357	100	NA	NA
"BAjuss"	"0.9"	0.859421049020215	182	1198	1198	1.29103575534734	0.03024154	100	NA	NA
"BAjuss"	"0.95"	0.859421049020215	182	1198	1198	1.05858805874951	0.03069548	100	NA	NA
"BAjuss"	"0.99"	0.859421049020215	182	1198	1198	0.740401994717436	0.03038556	100	NA	NA
"BAjuss"	"campo_medio"	0.859421049020215	182	1198	1198	NA	NA	100	63.830650764572	0.747416769590715
"BAlenc4"	"0.25"	0.159514416903022	61	866.990291262136	893	6.2581166218205	0.0136963	63	NA	NA
"BAlenc4"	"0.5"	0.159514416903022	61	866.990291262136	893	3.54385375150167	0.01303892	79	NA	NA
"BAlenc4"	"0.55"	0.159514416903022	61	866.990291262136	893	3.22901806095574	0.0111799	94	NA	NA
"BAlenc4"	"0.6"	0.159514416903022	61	866.990291262136	893	2.94545454795078	0.01197783	96	NA	NA
"BAlenc4"	"0.65"	0.159514416903022	61	866.990291262136	893	2.67596948857505	0.01222075	93	NA	NA
"BAlenc4"	"0.7"	0.159514416903022	61	866.990291262136	893	2.43439363154225	0.01204682	92	NA	NA
"BAlenc4"	"0.75"	0.159514416903022	61	866.990291262136	893	2.20072446199996	0.01104252	93	NA	NA
"BAlenc4"	"0.8"	0.159514416903022	61	866.990291262136	893	1.97894939096012	0.008657614	100	NA	NA
"BAlenc4"	"0.85"	0.159514416903022	61	866.990291262136	893	1.7523222500608	0.008622259	100	NA	NA
"BAlenc4"	"0.9"	0.159514416903022	61	866.990291262136	893	1.51895010735186	0.008627131	100	NA	NA
"BAlenc4"	"0.95"	0.159514416903022	61	866.990291262136	893	1.23439949060233	0.008031126	100	NA	NA
"BAlenc4"	"0.99"	0.159514416903022	61	866.990291262136	893	0.868743861153187	0.008212588	100	NA	NA
"BAlenc4"	"campo_medio"	0.159514416903022	61	866.990291262136	893	NA	NA	100	19.9460335000054	0.232027208557911
"BAuruc"	"0.25"	0.769444718591026	230	1784	1784	4.34911988609484	0.01919674	100	NA	NA
"BAuruc"	"0.5"	0.769444718591026	230	1784	1784	2.48717448407954	0.02215624	99	NA	NA
"BAuruc"	"0.55"	0.769444718591026	230	1784	1784	2.25459735826264	0.02174406	100	NA	NA
"BAuruc"	"0.6"	0.769444718591026	230	1784	1784	2.04798397774527	0.02434484	100	NA	NA
"BAuruc"	"0.65"	0.769444718591026	230	1784	1784	1.86894183032752	0.0233147	98	NA	NA
"BAuruc"	"0.7"	0.769444718591026	230	1784	1784	1.69179396108449	0.02489408	100	NA	NA
"BAuruc"	"0.75"	0.769444718591026	230	1784	1784	1.53736261203975	0.02395602	99	NA	NA
"BAuruc"	"0.8"	0.769444718591026	230	1784	1784	1.38229919805857	0.02421173	99	NA	NA
"BAuruc"	"0.85"	0.769444718591026	230	1784	1784	1.22345421144872	0.02305882	100	NA	NA
"BAuruc"	"0.9"	0.769444718591026	230	1784	1784	1.05863875168664	0.02305592	99	NA	NA
"BAuruc"	"0.95"	0.769444718591026	230	1784	1784	0.855277446549211	0.0233634	99	NA	NA
"BAuruc"	"0.99"	0.769444718591026	230	1784	1784	0.60526482681386	0.01260902	99	NA	NA
"BAuruc"	"campo_medio"	0.769444718591026	230	1784	1784	NA	NA	100	78.895681945609	0.603922316701086
