"SiteCode"	"kernel_percentil"	"GOF"	"p"	"J"	"S"	"DA"	"J_M"	"sd_k"	"sd_k_"	"U"	"U_"	"theta"	"theta_"	"m"	"m_"	"S_M"	"S_M_"	"spp_I"	"spp_I_"
"1"	"BAjuss"	"0.25"	100	0.859421049020215	1198	182	1198	514793.208363109	5.29395555996236	NA	0.01592218	NA	NA	8329.23376339782	NA	0.175195247714333	34483.4460365129	NA	NA	3.2922103881743
"2"	"BAjuss"	"0.5"	100	0.859421049020215	1198	182	1198	514793.208363109	3.02143175561715	NA	0.02705866	NA	NA	14316.9857873924	NA	0.055985509846221	51680.8137383208	NA	NA	3.91362902942279
"3"	"BAjuss"	"0.55"	100	0.859421049020215	1198	182	1198	514793.208363109	2.75121012650216	NA	0.0258233	NA	NA	13646.0188733964	NA	0.0463466692120809	49896.4660038192	NA	NA	3.53650432292287
"4"	"BAjuss"	"0.6"	100	0.859421049020215	1198	182	1198	514793.208363109	2.49659303786903	NA	0.0263961	NA	NA	13956.9147280259	NA	0.0381141020179991	50727.0495352893	NA	NA	3.42992250677393
"5"	"BAjuss"	"0.65"	100	0.859421049020215	1198	182	1198	514793.208363109	2.2852641963187	NA	0.02581922	NA	NA	13643.8057030985	NA	0.0319024660527595	49890.5294321812	NA	NA	3.20036508180444
"6"	"BAjuss"	"0.7"	99	0.859421049020215	1198	182	1198	514793.208363109	2.07092033228581	NA	0.02775694	NA	NA	14697.0001925262	NA	0.0261741868920037	52678.1100961209	NA	NA	3.27941355790501
"7"	"BAjuss"	"0.75"	99	0.859421049020215	1198	182	1198	514793.208363109	1.87208851299485	NA	0.02910278	NA	NA	15430.9684661634	NA	0.0213727004564388	54578.231337403	NA	NA	3.27781901099335
"8"	"BAjuss"	"0.8"	100	0.859421049020215	1198	182	1198	514793.208363109	1.68254139020012	NA	0.02938566	NA	NA	15585.4989795509	NA	0.0172522747123013	54974.034354458	NA	NA	3.14919892620326
"9"	"BAjuss"	"0.85"	100	0.859421049020215	1198	182	1198	514793.208363109	1.4934140216617	NA	0.0296357	NA	NA	15722.1648090172	NA	0.0135836141749457	55322.8767983984	NA	NA	3.01133703580445
"10"	"BAjuss"	"0.9"	100	0.859421049020215	1198	182	1198	514793.208363109	1.29103575534734	NA	0.03024154	NA	NA	16053.5945836464	NA	0.0101458324089588	56164.2326797552	NA	NA	2.88940559014399
"11"	"BAjuss"	"0.95"	100	0.859421049020215	1198	182	1198	514793.208363109	1.05858805874951	NA	0.03069548	NA	NA	16302.1977200371	NA	0.00681756072002377	56791.0962073393	NA	NA	2.70937956574709
"12"	"BAjuss"	"0.99"	100	0.859421049020215	1198	182	1198	514793.208363109	0.740401994717436	NA	0.03038556	NA	NA	16132.4428447556	NA	0.00333321151218643	56363.4412152381	NA	NA	2.35303055435782
"13"	"BAjuss"	"campo_medio"	100	0.859421049020215	1198	182	1198	514793.208363109	NA	308.398562088835	NA	0.000123977667401609	63.830650764572	NA	0.747416769590715	NA	NA	574.18393276443	0.0462260238302084	NA
"14"	"BAlenc4"	"0.25"	63	0.159514416903022	893	61	866.990291262136	69148.7253856304	6.2581166218205	NA	0.0136963	NA	NA	960.219444780761	NA	0.0564796572764088	4120.0055114543	NA	NA	0.353022566831322
