sp,N,MeanDA,SiteCode,ha
Aegiphila integrifolia,3,7.5,ALlaje11,0.4
Allophylus edulis,0,0,ALlaje11,0.4
Andira fraxinifolia,3,7.5,ALlaje11,0.4
Apeiba tibourbou,1,2.5,ALlaje11,0.4
Artocarpus heterophyllus,1,2.5,ALlaje11,0.4
Banara guianensis,1,2.5,ALlaje11,0.4
Bowdichia virgilioides,20,50,ALlaje11,0.4
Brosimum guianense,5,12.5,ALlaje11,0.4
Byrsonima chrysophylla,4,10,ALlaje11,0.4
Byrsonima crispa,4,10,ALlaje11,0.4
Byrsonima sericea,49,122.5,ALlaje11,0.4
Casearia javitensis,1,2.5,ALlaje11,0.4
Cecropia pachystachya,0,0,ALlaje11,0.4
Chamaecrista ensiformis,2,5,ALlaje11,0.4
Chrysophyllum splendens,2,5,ALlaje11,0.4
Citharexylum myrianthum,0,0,ALlaje11,0.4
Coccoloba mollis,0,0,ALlaje11,0.4
Cordia sellowiana,0,0,ALlaje11,0.4
Cordia trichotoma,2,5,ALlaje11,0.4
Croton floribundus,6,15,ALlaje11,0.4
Cupania impressinervia,8,20,ALlaje11,0.4
Cupania oblongifolia,0,0,ALlaje11,0.4
Cupania racemosa,4,10,ALlaje11,0.4
Erythroxylum mucronatum,4,10,ALlaje11,0.4
Eschweilera ovata,9,22.5,ALlaje11,0.4
Guapira opposita,9,22.5,ALlaje11,0.4
Guazuma ulmifolia,0,0,ALlaje11,0.4
Helicostylis tomentosa,3,7.5,ALlaje11,0.4
Hirtella hebeclada,0,0,ALlaje11,0.4
Hyeronima alchorneoides,1,2.5,ALlaje11,0.4
Inga capitata,6,15,ALlaje11,0.4
Inga thibaudiana,0,0,ALlaje11,0.4
Ixora venulosa,0,0,ALlaje11,0.4
Jacaratia spinosa,0,0,ALlaje11,0.4
Lecythis lurida,4,10,ALlaje11,0.4
Lecythis pisonis,1,2.5,ALlaje11,0.4
Mabea piriri,4,10,ALlaje11,0.4
Manilkara salzmannii,1,2.5,ALlaje11,0.4
Miconia hypoleuca,0,0,ALlaje11,0.4
Miconia minutiflora,5,12.5,ALlaje11,0.4
Miconia prasina,2,5,ALlaje11,0.4
Myrcia splendens,3,7.5,ALlaje11,0.4
Myrcia sylvatica,0,0,ALlaje11,0.4
Myrsine guianensis,0,0,ALlaje11,0.4
Nectandra sp.,1,2.5,ALlaje11,0.4
Ocotea glomerata,15,37.5,ALlaje11,0.4
Parkia pendula,0,0,ALlaje11,0.4
Plathymenia reticulata,3,7.5,ALlaje11,0.4
Pouteria bangii,3,7.5,ALlaje11,0.4
Pradosia lactescens,0,0,ALlaje11,0.4
Protium heptaphyllum,4,10,ALlaje11,0.4
Protium warmingianum,1,2.5,ALlaje11,0.4
Psidium sp.,1,2.5,ALlaje11,0.4
Psychotria vellosiana,0,0,ALlaje11,0.4
Roupala montana,1,2.5,ALlaje11,0.4
Schefflera morototoni,10,25,ALlaje11,0.4
Senefeldera verticillata,1,2.5,ALlaje11,0.4
Simarouba amara,4,10,ALlaje11,0.4
Siparuna guianensis,0,0,ALlaje11,0.4
Sorocea hilarii,0,0,ALlaje11,0.4
Stryphnodendron pulcherrimum,2,5,ALlaje11,0.4
Symphonia globulifera,1,2.5,ALlaje11,0.4
Tapirira guianensis,15,37.5,ALlaje11,0.4
Thyrsodium spruceanum,60,150,ALlaje11,0.4
Tovomita brevistaminea,2,5,ALlaje11,0.4
Virola gardneri,3,7.5,ALlaje11,0.4
Vismia guianensis,2,5,ALlaje11,0.4
Vochysia oblongifolia,1,2.5,ALlaje11,0.4
Xylopia frutescens,2,5,ALlaje11,0.4
Albizia pedicellaris,6,10,ALlaje9,0.6
Andira vermifuga,5,8.333333333,ALlaje9,0.6
Aspidosperma discolor,3,5,ALlaje9,0.6
Aspidosperma spruceanum,3,5,ALlaje9,0.6
Banara guianensis,1,1.666666667,ALlaje9,0.6
Bauhinia forficata,2,3.333333333,ALlaje9,0.6
Brosimum guianense,2,3.333333333,ALlaje9,0.6
Brosimum rubescens,5,8.333333333,ALlaje9,0.6
Buchenavia tetraphylla,1,1.666666667,ALlaje9,0.6
Casearia javitensis,1,1.666666667,ALlaje9,0.6
Cecropia hololeuca,7,11.66666667,ALlaje9,0.6
Chamaecrista ensiformis,25,41.66666667,ALlaje9,0.6
Chrysophyllum splendens,13,21.66666667,ALlaje9,0.6
Clarisia racemosa,1,1.666666667,ALlaje9,0.6
Coccoloba parimensis,1,1.666666667,ALlaje9,0.6
Conchocarpus heterophyllus,3,5,ALlaje9,0.6
Copaifera langsdorffii,2,3.333333333,ALlaje9,0.6
Couepia impressa,2,3.333333333,ALlaje9,0.6
Couepia rufa,4,6.666666667,ALlaje9,0.6
Croton floribundus,6,10,ALlaje9,0.6
Cupania racemosa,1,1.666666667,ALlaje9,0.6
Dialium guianense,4,6.666666667,ALlaje9,0.6
Dilodendron bipinnatum,4,6.666666667,ALlaje9,0.6
Diplotropis purpurea,7,11.66666667,ALlaje9,0.6
Eriotheca macrophylla,6,10,ALlaje9,0.6
Eschweilera ovata,17,28.33333333,ALlaje9,0.6
Euterpe edulis,1,1.666666667,ALlaje9,0.6
Ficus gomelleira,1,1.666666667,ALlaje9,0.6
Ficus guaranitica,2,3.333333333,ALlaje9,0.6
Garcinia macrophylla,4,6.666666667,ALlaje9,0.6
Guapira opposita,5,8.333333333,ALlaje9,0.6
Guarea guidonia,9,15,ALlaje9,0.6
Guatteria australis,2,3.333333333,ALlaje9,0.6
Handroanthus chrysotrichus,1,1.666666667,ALlaje9,0.6
Helicostylis tomentosa,21,35,ALlaje9,0.6
Himatanthus bracteatus,9,15,ALlaje9,0.6
Hortia brasiliana,3,5,ALlaje9,0.6
Hyeronima alchorneoides,5,8.333333333,ALlaje9,0.6
