"SiteCode"	"kernel_percentil"	"p"	"S.obs"	"DA"	"N"	"pSAD"	"U"	"theta"	"m"
"BAjuss"	"0.25"	0.859421049020215	182	1198	1198	100	0.01592218	NA	NA
"BAjuss"	"0.5"	0.859421049020215	182	1198	1198	100	0.02705866	NA	NA
"BAjuss"	"0.55"	0.859421049020215	182	1198	1198	100	0.0258233	NA	NA
"BAjuss"	"0.6"	0.859421049020215	182	1198	1198	100	0.0263961	NA	NA
"BAjuss"	"0.65"	0.859421049020215	182	1198	1198	100	0.02581922	NA	NA
"BAjuss"	"0.7"	0.859421049020215	182	1198	1198	99	0.02775694	NA	NA
"BAjuss"	"0.75"	0.859421049020215	182	1198	1198	99	0.02910278	NA	NA
"BAjuss"	"0.8"	0.859421049020215	182	1198	1198	100	0.02938566	NA	NA
"BAjuss"	"0.85"	0.859421049020215	182	1198	1198	100	0.0296357	NA	NA
"BAjuss"	"0.9"	0.859421049020215	182	1198	1198	100	0.03024154	NA	NA
"BAjuss"	"0.95"	0.859421049020215	182	1198	1198	100	0.03069548	NA	NA
"BAjuss"	"0.99"	0.859421049020215	182	1198	1198	100	0.03038556	NA	NA
"BAjuss"	"campo_medio"	0.859421049020215	182	1198	1198	99	NA	64.1143778022213	0.745070110637881
"BAlenc4"	"0.25"	0.159514416903022	61	866.990291262136	893	63	0.0136963	NA	NA
"BAlenc4"	"0.5"	0.159514416903022	61	866.990291262136	893	79	0.01303892	NA	NA
"BAlenc4"	"0.55"	0.159514416903022	61	866.990291262136	893	94	0.0111799	NA	NA
"BAlenc4"	"0.6"	0.159514416903022	61	866.990291262136	893	96	0.01197783	NA	NA
"BAlenc4"	"0.65"	0.159514416903022	61	866.990291262136	893	93	0.01222075	NA	NA
"BAlenc4"	"0.7"	0.159514416903022	61	866.990291262136	893	92	0.01204682	NA	NA
"BAlenc4"	"0.75"	0.159514416903022	61	866.990291262136	893	93	0.01104252	NA	NA
