"RecordID","ordem","RefID","SiteCode","SubSite","Name_submitted","family","genus","epiteth","infra.epiteth","authorship","species.correct","name.status","taxon.rank","scientific.name","family.original","genus.original","species.original","author.original","tax_check","notes","N","AB","DA","DoA","VolA","F","DR","DoR","FR","IVC","IVI","accession","coletor","number","record","speciesLink","status.spLink","DetBy","DetDate","state","county","locality","first.author","obs","occurrence","id"
1,"974","624","RScach1","distrophic","Allophylus edulis","Sapindaceae","Allophylus","edulis",NA,"(A.St.-Hil. et al.) Hieron. ex Niederl.","Allophylus edulis","correct","species","Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.",NA,"Allophylus","Allophylus edulis","(A. St-Hil. et al.) Radlk.","","",9,0.055,NA,NA,NA,7,NA,NA,NA,"0.94","1.8","ICN NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"RS;AC;PR;SC","20873"
2,"974","624","RScach1","distrophic","Casearia sylvestris","Salicaceae","Casearia","sylvestris",NA,"Sw.","Casearia sylvestris","correct","species","Casearia sylvestris Sw.",NA,"Casearia","Casearia sylvestris","Sw.","","",34,0.28,NA,NA,NA,17,NA,NA,NA,"3.89","5.44","ICN NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"PB;CE;PR;RS;SC;ES;MG;DF;SP;GO;TO;AL;RR;AM;BA;RO;MA;PA;AP;PE;PI;RN;SE;RJ;MS;MT;AC","14384"
3,"974","624","RScach1","distrophic","Cupania vernalis","Sapindaceae","Cupania","vernalis",NA,"Cambess.","Cupania vernalis","correct","species","Cupania vernalis Cambess.",NA,"Cupania","Cupania vernalis","Cambess.","","",18,0.08,NA,NA,NA,8,NA,NA,NA,"1.75","2.51","NA NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"DF;GO;AM;PA;RS;SC;ES;MG;RJ;SP;BA;PR","32717"
4,"974","624","RScach1","distrophic","Daphnopsis racemosa","Thymelaeaceae","Daphnopsis","racemosa",NA,"Griseb.","Daphnopsis racemosa","correct","species","Daphnopsis racemosa Griseb.",NA,"Daphnopsis","Daphnopsis racemosa","Griseb.","","",1,0.003,NA,NA,NA,1,NA,NA,NA,"0.09","0.23","NA NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"SC;MT;MS;ES;MG;SP;RJ;PE;BA;PR;RS","14947"
5,"974","624","RScach1","distrophic","Eugenia hiemalis","Myrtaceae","Eugenia","hiemalis",NA,"Cambess.","Eugenia hiemalis","correct","species","Eugenia hiemalis Cambess.",NA,"Eugenia","Eugenia hiemalis","Cambess.","","",47,0.433,NA,NA,NA,22,NA,NA,NA,"5.59","7.41","ICN NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"MS;SP;RJ;MG;SC;RS;PR","10414"
6,"974","624","RScach1","distrophic","Eugenia uniflora","Myrtaceae","Eugenia","uniflora",NA,"L.","Eugenia uniflora","correct","species","Eugenia uniflora L.",NA,"Eugenia","Eugenia uniflora","L.","","",17,0.116,NA,NA,NA,13,NA,NA,NA,"1.83","3.4","ICN NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"RS;PR;BA;SP;MG;ES;SC;MS;RJ","10560"
7,"974","624","RScach1","distrophic","Eugenia uruguayensis","Myrtaceae","Eugenia","uruguayensis",NA,"Cambess.","Eugenia uruguayensis","correct","species","Eugenia uruguayensis Cambess.",NA,"Eugenia","Eugenia uruguayensis","Cambess.","","",43,0.49,NA,NA,NA,23,NA,NA,NA,"5.54","7.55","ICN NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"RS;PR;SC","10561"
8,"974","624","RScach1","distrophic","Guettarda uruguensis","Rubiaceae","Guettarda","uruguensis",NA,"Cham. & Schltdl.","Guettarda uruguensis","correct","species","Guettarda uruguensis Cham. & Schltdl.",NA,"Guettarda","Guettarda uruguensis","Cham. & Schltdl.","","",10,0.046,NA,NA,NA,9,NA,NA,NA,"0.98","2.16","ICN NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"PR;RS;SP;MG;SC;BA","14056"
9,"974","624","RScach1","distrophic","Actinostemon concolor","Euphorbiaceae","Actinostemon","concolor",NA,"(Spreng.) Mull.Arg.","Actinostemon concolor","correct","species","Actinostemon concolor (Spreng.) Mull.Arg.",NA,"Gymnanthes","Gymnanthes concolor","Spreng.","","replaced synonym",2,0.006,NA,NA,NA,2,NA,NA,NA,"0.18","0.45","ICN NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"RS;BA;PE;AC;SP;RJ;ES;SC;RO;PR","17448"
10,"974","624","RScach1","distrophic","Inga vera","Fabaceae","Inga","vera",NA,"Willd.","Inga vera","correct","species","Inga vera Willd.",NA,"Inga","Inga vera","Willd.","","",10,2.059,NA,NA,NA,8,NA,NA,NA,"10.14","8.1","NA NA",NA,NA,NA,NA,NA,NA,NA,"RS","Cachoeira do Sul",NA,"J.C. Budke",NA,"MS;GO;RJ;SP;MG;ES;TO;RS;BA;SC;PE;PB;CE;PA;RO;AM;AC;RR;PR;AP;PI;MA;DF;MT","23039"
