"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.0016383
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.0016383
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.0016383
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.00157794
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.00157794
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.00157794
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.00158377
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.00158377
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.00158377
"SCarar",0.0359928114764424,2034,26,2034,0.0999999999999999,"1oT","laplace",2,2.21730035079246,7.34128368867414,"ref873_SC_1328.txt",0.00155333
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0137775
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0135429
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0135668
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0135668
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0139414
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0134191
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0134191
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0134191
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0140407
"MGvico8",0.313668812302999,2303,195,2303,0.0999999999999999,"1oT","laplace",2,2.08378559282707,6.95413959665243,"ref2419_MG_3585.txt",0.0140407
"RSsetape",0.493985431841831,1733,45,1733,0.0999999999999999,"2oT","laplace",2,2.40215329446032,7.97961106069625,"ref740_RS_1123.txt",0.00240401
