"","SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file"
"1","MGuberl5",0.00742437918995731,957,68,957,0.99,"1oT","laplace","2",3.23254091917618,0.830243128435876,"ref284_MG_391.txt"
"2","MGuberl3",0.0180417237953712,975,85,975,0.99,"1oT","laplace","2",3.20256307610174,0.826024064223155,"ref89_MG_102.txt"
"3","SCarar",0.0359928114764424,2034,26,2034,0.99,"1oT","laplace","2",2.21730035079246,0.565379635199895,"ref873_SC_1328.txt"
"4","MGuberl7",0.0485476800383076,945,73,945,0.99,"1oT","laplace","2",3.25300024316178,0.830694754922217,"ref100_MG_118.txt"
"5","RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace","2",3.0219894260775,0.785525900519482,"ref638_RS_989.txt"
"6","RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace","2",2.85365072767675,0.734662281248125,"ref663_RS_1023.txt"
"7","SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace","2",3.04855380424846,0.786377062457979,"ref986_SP_1505.txt"
"8","RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace","2",2.29174624257053,0.585705272356423,"ref664_RS_1024.txt"
"9","PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace","2",4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt"
"10","MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace","2",3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt"
"11","RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace","2",2.54246418090461,0.657730542563495,"ref624_RS_974.txt"
"12","BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace","2",3.396197069558,0.866766704334387,"ref1420_BA_2286.txt"
"13","PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace","2",2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt"
"14","PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace","2",2.59762166733066,0.664731584517163,"ref347_PR_571.txt"
"15","PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace","2",3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt"
"16","PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace","2",3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt"
"17","MGvico16",0.21847289239375,1653,91,1653,0.99,"1oT","laplace","2",2.45959483971641,0.624144688946216,"ref257_MG_348.txt"
"18","PRrico2",0.226305520677815,961,34,961,0.99,"1oT","laplace","2",3.2258064516129,0.83723056904989,"ref1359_PR_2196.txt"
"19","MGvico1",0.23259121186371,1825,93,1825,0.99,"1oT","laplace","2",2.34082294392261,0.603747706663905,"ref224_MG_307.txt"
"20","MGuberl1",0.234288719011765,1379,87,1253.63636363636,0.99,"1oT","laplace","2",2.82432200338865,0.723610610691344,"ref76_MG_87.txt"
"21","RSmaqu4",0.310748079531233,1531,85,1531,0.99,"1oT","laplace","2",2.55571489830357,0.657999153504552,"ref658_RS_1017.txt"
"22","MGvico8",0.313668812302999,2303,195,2303,0.99,"1oT","laplace","2",2.08378559282707,0.532508844824945,"ref2419_MG_3585.txt"
"23","RScamb1",0.327940858999573,1178,42,1178,0.99,"1oT","laplace","2",2.91358273374033,0.745157339751485,"ref1183_RS_1928.txt"
"24","PRdiam3",0.328788995096578,1124,74,1040.74074074074,0.99,"1oT","laplace","2",3.09976465643231,0.804599691003645,"ref1327_PR_2157.txt"
"25","PRvent",0.340772625042584,1241,101,1241,0.99,"1oT","laplace","2",2.8386647790183,0.731618002205607,"ref462_PR_743.txt"
"26","RSsmar2",0.36114979447901,1427,58,1427,0.99,"1oT","laplace","2",2.64720767589686,0.685497330862106,"ref678_RS_1041.txt"
"27","SPeec4",0.37843888158286,1212,84,1212,0.99,"1oT","laplace","2",2.87242494810713,0.744062779018535,"ref2561_SP_3863.txt"
"28","PRsapo",0.425074364521363,1480,122,1480,0.99,"2oT","laplace","2",2.59937622455018,0.665334696051751,"ref348_PR_572.txt"
"29","PRdiam2",0.448393813206425,1146,84,1091.42857142857,0.99,"2oT","laplace","2",3.02692974231671,0.777705658603916,"ref454_PR_732.txt"
"30","RSfaxi",0.470118159409467,1211,74,1211,0.99,"2oT","laplace","2",2.87361067569039,0.737274272880837,"ref639_RS_990.txt"
"31","RSsetape",0.493985431841831,1733,45,1733,0.99,"2oT","laplace","2",2.40215329446032,0.616050140835147,"ref740_RS_1123.txt"
"32","SCorle",0.528689726683852,1938,112,1938,0.99,"2oT","laplace","2",2.27155425212127,0.579043570009856,"ref832_SC_1251.txt"
"33","SCside4",0.535403772264882,1421,98,1421,0.99,"2oT","laplace","2",2.65279054538646,0.681690155984535,"ref2715_SC_4218.txt"
"34","RScama",0.559289827066303,2236,69,2236,0.99,"2oT","laplace","2",2.11477467218907,0.538793496094514,"ref619_RS_969.txt"
"35","SPpesm6",0.629775694761977,1891,87,1891,0.99,"2oT","laplace","2",2.29961024909137,0.585970617071113,"ref1059_SP_1682.txt"
"36","PRtele",0.633149366825626,1040,105,1040,0.99,"2oT","laplace","2",3.10086836473021,0.796961968487505,"ref355_PR_580.txt"
"37","PEsvfer",0.636673590338369,1288,91,1288,0.99,"2oT","laplace","2",2.78639106287676,0.720084969257465,"ref1496_PE_2392.txt"
"38","RSmorr1",0.658177286403532,2810,109,2810,0.99,"2oT","laplace","2",1.88645669476136,0.48540420498369,"ref684_RS_1047.txt"
"39","SPpesmA",0.658259844116084,1670,84,1670,0.99,"2oT","laplace","2",2.44704392116198,0.633716265869013,"ref934_SP_1436.txt"
"40","RSvsol",0.666613829015203,1855,55,1855,0.99,"2oT","laplace","2",2.32181730106286,0.59540395434771,"ref618_RS_968.txt"
"41","SPeec5",0.67888901166382,1107,74,1107,0.99,"2oT","laplace","2",3.00556544889144,0.775389772115469,"ref2561_SP_3864.txt"
"42","SCside1",0.680355725623583,1413,111,1413,0.99,"2oT","laplace","2",2.66028961489207,0.682917354743187,"ref2572_SC_3878.txt"
"43","RSpet1",0.722472122747256,826,69,826,0.99,"2oT","laplace","2",3.47944500319611,0.887520871619477,"ref677_RS_1040.txt"
"44","SCside",0.72254784514244,1712,105,1712,0.99,"2oT","laplace","2",2.41684122261416,0.61851780448717,"ref813_SC_1230.txt"
"45","MGarap1",0.728749442631224,2080,92,2080,0.99,"2oT","laplace","2",2.19264504826757,0.560507741767309,"ref238_MG_321.txt"
"46","RSsini",0.73052961024989,1024,69,1024,0.99,"2oT","laplace","2",3.125,0.807386788832125,"ref741_RS_1124.txt"
"47","SPeec1",0.743179321289062,12105,144,1182.12890625,0.99,"2oT","laplace","2",2.90849004346246,0.750268779784207,"ref936_SP_1440.txt"
