"SiteCode","MN","k","S_SAD.obs","GOF","p.value_mean","p.value_var","S_mean","S_var","p","J","S","DA","d","U_med","U_var"
"BAjuss","EE",0.05,265,100,0.812005931419704,0.0544112987343682,180.24,113.477171717172,0.859421049020215,1198,182,1198,14.231604454168,0.008430781,5.99105108766665e-08
"BAjuss","EE",0.5,265,81,0.203621627229407,0.0340277406589738,183.87,89.6293939393939,0.859421049020215,1198,182,1198,3.01206305919873,0.02518362,1.41063965066667e-06
"BAjuss","EE",0.99,265,63,0.119826526182164,0.0158307031104966,177.77,104.603131313131,0.859421049020215,1198,182,1198,0.740501875152968,0.009960235,3.86488754055557e-08
"BAjuss","EI",0.05,265,87,0.189370073307991,0.0191474421167464,349.78,170.395555555556,0.859421049020215,1198,182,1198,14.231604454168,0.008430781,5.99105108766665e-08
"BAjuss","EI",0.5,265,14,0.0309418468931222,0.00599020532422376,117.4,74.7474747474748,0.859421049020215,1198,182,1198,3.01206305919873,0.02518362,1.41063965066667e-06
"BAjuss","EI",0.99,265,1,0.00242912441784422,8.25408122380892e-05,38.74,26.2549494949495,0.859421049020215,1198,182,1198,0.740501875152968,0.009960235,3.86488754055557e-08
"BAlenc4","EE",0.05,150,100,0.625967814927238,0.0579511753606347,61.11,56.220101010101,0.159514416903022,893,61,866.990291262136,16.5923663726167,0.01034104,5.8077893333333e-09
"BAlenc4","EE",0.5,150,100,0.647005821091577,0.0730299443545398,61.15,52.4318181818182,0.159514416903022,893,61,866.990291262136,3.56145282918469,0.01239553,1.91894673444445e-07
"BAlenc4","EE",0.99,150,79,0.224210852955591,0.0408294983014496,58.7,42.979797979798,0.159514416903022,893,61,866.990291262136,0.866766704334387,0.003730557,2.43211112677778e-08
"BAlenc4","EI",0.05,150,99,0.695427336642265,0.0798447103481512,97.43,62.7324242424242,0.159514416903022,893,61,866.990291262136,16.5923663726167,0.01034104,5.8077893333333e-09
"BAlenc4","EI",0.5,150,32,0.0532733817661502,0.00852152347563824,28.07,23.7627272727273,0.159514416903022,893,61,866.990291262136,3.56145282918469,0.01239553,1.91894673444445e-07
"BAlenc4","EI",0.99,150,40,0.11413691502758,0.0398709656095819,9.18,7.84606060606061,0.159514416903022,893,61,866.990291262136,0.866766704334387,0.003730557,2.43211112677778e-08
"BAuruc","EE",0.05,458,32,0.0609487474552465,0.010378499584187,231.93,139.560707070707,0.769444718591026,1784,230,1784,11.7307748140472,0.008950945,6.27527227166665e-08
"BAuruc","EE",0.5,458,4,0.00938741627440906,0.00100458870560453,232.02,151.292525252525,0.769444718591026,1784,230,1784,2.46410626901199,0.02277479,1.28951499877778e-06
"BAuruc","EE",0.99,458,4,0.0137789648772937,0.00387141125373699,233.83,158.748585858586,0.769444718591026,1784,230,1784,0.611170253214979,0.008376832,6.50448626400001e-08
"BAuruc","EI",0.05,458,100,0.493539940429961,0.0468388029121259,430.22,337.688484848485,0.769444718591026,1784,230,1784,11.7307748140472,0.008950945,6.27527227166665e-08
"BAuruc","EI",0.5,458,1,0.00182245842602835,6.2203613157151e-05,136.62,105.086464646465,0.769444718591026,1784,230,1784,2.46410626901199,0.02277479,1.28951499877778e-06
"BAuruc","EI",0.99,458,0,0.000391152324249832,1.21901328507943e-06,46.3,28.6161616161616,0.769444718591026,1784,230,1784,0.611170253214979,0.008376832,6.50448626400001e-08
"ESsoor","EE",0.05,265,98,0.797369012983708,0.0588135655255137,228.21,187.298888888889,1,1468,226,1468,12.9109987103333,0.010101557,2.20453000423333e-07
"ESsoor","EE",0.5,265,85,0.250719933425848,0.0407148930349235,225.73,133.936464646465,1,1468,226,1468,2.71697548656346,0.02970991,8.40810329888889e-07
"ESsoor","EE",0.99,265,78,0.241218611620792,0.0573253706062947,219.77,130.279898989899,1,1468,226,1468,0.670250556376475,0.01045576,8.75813871111113e-08
"ESsoor","EI",0.05,265,4,0.0104267818784764,0.000252317503705819,442.4,283.575757575758,1,1468,226,1468,12.9109987103333,0.010101557,2.20453000423333e-07
"ESsoor","EI",0.5,265,28,0.0480048703078368,0.00424515827237427,149.43,109.075858585859,1,1468,226,1468,2.71697548656346,0.02970991,8.40810329888889e-07
"ESsoor","EI",0.99,265,0,0.00228234870352894,4.03445330869038e-05,50.28,39.860202020202,1,1468,226,1468,0.670250556376475,0.01045576,8.75813871111113e-08
"MGarap1","EE",0.05,94,100,0.833908762355476,0.034163142218164,92.05,80.7752525252525,0.728749442631224,2080,92,2080,10.7964483510617,0.002612616,4.33973229333333e-09
"MGarap1","EE",0.5,94,42,0.0973006855585386,0.0184343684005478,89.92,58.9430303030303,0.728749442631224,2080,92,2080,2.29517632263241,0.003935718,8.35200241733333e-08
